datetime,open,close,high,low,volume,money
2023-04-10,41.25,42.1,42.67,41.25,4320202.0,182654653.0
2023-04-11,42.11,41.07,42.12,40.47,3847420.0,157677042.0
2023-04-12,41.17,40.8,41.82,40.7,3198474.0,131334595.0
2023-04-13,40.87,39.52,40.87,39.21,3602811.0,143764751.0
2023-04-14,39.5,39.42,39.97,38.7,2239300.0,87933555.0
2023-04-17,39.4,38.95,39.45,38.84,2286639.0,89324943.0
2023-04-18,38.95,38.99,38.99,38.12,2701074.0,104264449.0
2023-04-19,38.79,38.26,39.05,38.06,3013439.0,116024599.0
2023-04-20,38.45,37.77,38.5,37.4,3607813.0,136618392.0
2023-04-21,37.9,37.29,39.04,37.02,4714991.0,179493220.0
2023-04-24,37.29,37.65,38.05,36.92,2662141.0,100033995.0
2023-04-25,37.35,36.05,37.6,35.4,4103500.0,148625277.0
2023-04-26,36.25,35.87,36.75,35.41,3484800.0,125401466.0
2023-04-27,36.09,35.96,36.75,35.77,3385400.0,122469930.0
2023-04-28,35.96,36.85,36.88,35.95,2201373.0,80446053.0
2023-05-04,36.68,36.93,37.64,36.5,2417357.0,89731858.0
2023-05-05,36.83,36.3,37.13,35.91,1934857.0,70312134.0
2023-05-08,36.59,37.22,37.5,36.31,2139336.0,78965608.0
2023-05-09,36.99,35.98,37.37,35.93,1928882.0,70543289.0
2023-05-10,35.75,35.68,36.06,35.4,1401300.0,50085538.0
2023-05-11,35.87,35.66,35.93,35.33,1439100.0,51299825.0
2023-05-12,35.61,35.48,35.93,35.48,1023927.0,36582495.0
2023-05-15,35.3,36.03,36.03,35.05,1327920.0,47194671.0
2023-05-16,35.89,35.99,36.6,35.62,1435000.0,51645196.0
