,股票代码,财报发布日,财报统计截止日,净利润(元),营业总收入(元),应付账款(元),销售净利率(%),营业收入(元),存货(元),营业成本(元),管理费用(元),营业费用/营业总收入(%),管理费用/营业总收入(%),总市值(亿元),销售费用(元),财务费用(元),换手率(%),利润总额(元),每股收益(元),总股本(万股),盈余公积金(元),未分配利润(元),资本公积金(元),营业利润(元),经营活动产生的现金流量净额(元),每股未分配利润(元),每股公积金(元),每股净利润(元),每股营业利润(元),每股经营现金流(元),净利润与营业总收入之比,存货周转率,管理费用与营业总收入之比,股价,中文名称,上市日期,机构名称,上市年限,行业名称
33,688099.XSHG,2020-10-16,2020-09-30,49059555.96,819729624.52,218987935.88,5.98,819729624.52,224920511.2,545263926.73,25409374.65,2.98,3.1,275.8615,24396728.03,17292060.56,1.5293,46225102.11,0.1198,41112.0,38537339.39,322428187.21,2044898114.19,46201336.67,448891976.86,0.7842678225578906,4.973968948701109,0.11933147489784006,0.1123791999172991,1.0918757950476747,0.059848460385614664,2.4242516781635346,0.03099726286564144,65.263,晶晨股份,2019-08-08,晶晨股份,1,电子I
34,300225.XSHE,2020-10-16,2020-09-30,49741189.22,257365243.87,188108038.21,19.33,257365243.87,142841128.2,176978526.31,22646148.07,9.56,8.8,67.706,24605780.24,-285053.83,4.5182,54184207.4,0.1027,48920.5312,83633977.74,396191886.18,68071843.45,54179706.53,-137532126.58,0.8098683241199147,0.13914780109746644,0.10167753292916001,0.11075044608264598,-0.2811337555140857,0.19327081027741727,1.2389885780109655,0.08799225462408977,14.378,金力泰,2011-05-31,金力泰,9,化工I
35,002107.XSHE,2020-10-16,2020-09-30,53120776.52,266709489.26,24902238.23,19.92,266709489.26,100476529.02,55141698.45,8299116.74,45.19,3.11,53.6805,120520045.69,-181318.18,0.6751,68720216.83,0.0867,57720.9609,25121194.5,164606192.14,2346187.13,68713631.33,55495727.91,0.2851757655683795,0.004064705599868141,0.09203030526818552,0.11904450351934456,0.09614484416873247,0.19917092814127646,0.5488017847334672,0.03111669090974735,8.983,沃华医药,2007-01-24,沃华医药,13,医药生物I
36,300551.XSHE,2020-10-16,2020-09-30,-10350668.71,47068474.71,43740814.56,-21.99,47068474.71,153530838.38,33910226.31,6133216.84,25.19,13.03,45.68,11856179.93,1124631.12,2.0675,-10847437.52,-0.0538,20275.1992,26226802.9,222965141.64,133288673.51,-11132568.76,-8651961.16,1.0996939632533917,0.6573976028309503,-0.05105088540881019,-0.05490732125581287,-0.04267263208935575,-0.21990660997138567,0.22086915350562814,0.1303041340894983,16.3915,古鳌科技,2016-10-18,古鳌科技,3,机械设备I
37,603717.XSHG,2020-10-16,2020-09-30,2167828.4,213441296.84,572842716.06,1.02,213441296.84,93089563.26,169621267.53,16033131.16,2.63,7.51,18.2798,5606977.7,11798531.23,0.4979,2390244.97,0.0094,24179.623,46152139.38,520971455.41,585302623.72,2499281.45,-54419661.33,2.154588826343571,2.4206441255101456,0.008965517783300425,0.01033631272911079,-0.2250641431837047,0.010156555606130189,1.8221298026315393,0.0751172870356891,7.742000000000002,天域生态,2017-03-27,天域生态,3,建筑装饰I
38,002469.XSHE,2020-10-16,2020-09-30,21979825.92,137310035.89,178508286.68,16.01,137310035.89,62540877.98,93506258.86,12338048.86,6.88,8.99,25.6161,9442826.32,-1746758.66,0.7799,26363797.94,0.0376,50326.2852,83445517.27,487726784.34,151719511.93,26462311.2,72890621.53,0.9691293176155191,0.3014717087244898,0.043674644040685134,0.05258149115285784,0.1448360856366168,0.16007443139559144,1.4951222605141945,0.08985540481457667,4.8495,三维化学,2010-09-08,三维化学,10,建筑装饰I
39,300122.XSHE,2020-10-16,2020-09-30,974047337.21,4056063967.03,4208891611.44,24.01,4056063967.03,3994661762.93,2324596788.31,49053911.78,9.6,1.21,2228.96,389491794.16,37590644.58,1.7497,1129120260.7,0.6088,160000.0,466111402.9,5151857183.65,207964774.94,1129903869.79,2067976219.51,3.21991073978125,0.1299779843375,0.60877958575625,0.70618991861875,1.29248513719375,0.2401459506377641,0.5819258115623179,0.0120939689755236,137.52,智飞生物,2010-09-28,智飞生物,10,医药生物I
40,600800.XSHG,2020-10-16,2020-09-30,145556669.23,1034944914.18,387083562.33,14.06,1034944914.18,423287592.68,794729872.32,18253539.44,0.55,1.76,45.3088,5648109.19,7063746.28,0.3711,196237288.14,0.1453,100240.625,90757834.59,-721877122.56,1543932609.49,195856988.75,604919894.29,-0.7201442753973252,1.5402264396196652,0.14520726425039748,0.1953868391682514,0.603467799896499,0.14064194841261324,1.8775175225152552,0.017637208695752193,4.618,渤海化学,1993-12-06,渤海化学,26,计算机I
41,300444.XSHE,2020-10-16,2020-09-30,16918559.46,366144889.89,666270306.89,4.62,366144889.89,337824035.7,266993244.4,19288272.77,11.48,5.27,30.3403,42029738.53,10223895.86,5.942,24248937.4,0.0339,58572.0625,48344204.89,-69345570.76,315652038.23,23371917.2,78311735.98,-0.11839359551321929,0.5389122813115895,0.028885032791870695,0.039902841393027605,0.13370151679394934,0.04620728003354847,0.790332291918683,0.05267934444147159,5.484000000000001,双杰电气,2015-04-23,双杰电气,5,电气设备I
42,002488.XSHE,2020-10-16,2020-09-30,44055766.38,575305734.74,152226276.55,7.66,575272536.45,1000673522.18,421749392.36,35690029.64,5.28,6.2,86.8808,30359481.9,24339821.33,4.2798,46234108.49,0.0444,100093.0781,97515673.95,102653293.29,3070229136.7,48265918.58,156414138.87,0.10255783440633345,3.06737408318348,0.04401479824207744,0.048221035356489854,0.15626868694529636,0.0765780066487783,0.421465525980147,0.06203663110733552,8.567499999999999,金固股份,2010-10-21,金固股份,9,汽车I
